Project,Project_Num,Country,Country_Key,Sequence_Count,Lat,Long,Size
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Ghana,Ghana,26,-1.25,9,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Burkina Faso,Burkina_Faso,34,-2.2,12.3,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Mali,Mali,50,-3.91,16.87,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Zambia,Zambia,41,27.5,-13.5,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Benin,Benin,50,2.6,10.3,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Cameroon,Cameroon,50,13,7.5,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Botswana,Botswana,48,24.5,-21,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Nigeria,Nigeria,59,8.4,10.3,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Uganda,Uganda,83,33.4,1.5,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,DRC,DRC,42,23.6,-1,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Ivory Coast,Ivory_Coast,30,-5.57,7.5,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,Guinea,Guinea,46,-9.4,9.6,2
"H3 Africa: Choudhury <i>et al</i>., <i>Nature</i><sup>1</sup>, 2020",2,South Africa,South_Africa,16,25.6,-28.95,2
"1000 Genomes<sup>6</sup>: <i>Nature</i>, 2015",7,Gambia,Gambia,280,-15.5,13.3,2
"1000 Genomes<sup>6</sup>: <i>Nature</i>, 2015",7,Sierra Leone,Sierra_Leone,128,-12.3,8.7,2
"1000 Genomes<sup>6</sup>: <i>Nature</i>, 2015",7,Nigeria,Nigeria,359,4.5,7.51,2
"1000 Genomes<sup>6</sup>: <i>Nature</i>, 2015",7,Kenya,Kenya,116,37.1,-1.3,2
"AGVP<sup>2</sup>: Gurdasani <i>et al</i>., <i>Nature</i>, 2014",3,Uganda,Uganda,100,31.6,2.1,2
"AGVP<sup>2</sup>: Gurdasani <i>et al</i>., <i>Nature</i>, 2014",3,Ethiopia,Ethiopia,120,39.68,9.39,2
"AGVP<sup>2</sup>: Gurdasani <i>et al</i>., <i>Nature</i>, 2014",3,South Africa,South_Africa,100,25.6,-30.4,2
"Lorente-Galdos <i>et al</i>., <i>Genome Biology</i>, 2019",1,Namibia,Namibia,3,19.12,-22.6,1
"Lorente-Galdos <i>et al</i>., <i>Genome Biology</i>, 2019",1,South Africa,South_Africa,2,22.91,-33.3,1
"Lorente-Galdos <i>et al</i>., <i>Genome Biology</i>, 2019",1,DRC,DRC,2,25.71,0.83,1
